satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary,sales,employee_id
0.38,0.53,2,157,3,0,0,1,low,sales,1
0.8,0.86,5,262,6,0,0,1,medium,sales,2
0.11,0.88,7,272,4,0,0,1,medium,sales,3
0.72,0.87,5,223,5,0,0,1,low,sales,4
0.37,0.52,2,159,3,0,0,1,low,sales,5
0.41,0.5,2,153,3,0,0,1,low,sales,6
0.1,0.77,6,247,4,0,0,1,low,sales,7
0.92,0.85,5,259,5,0,0,1,low,sales,8
0.89,1,5,224,5,0,0,1,low,sales,9
0.42,0.53,2,142,3,0,0,1,low,sales,10
0.45,0.54,2,135,3,0,0,1,low,sales,11
0.11,0.81,6,305,4,0,0,1,low,sales,12
0.84,0.92,4,234,5,0,0,1,low,sales,13
0.41,0.55,2,148,3,0,0,1,low,sales,14
0.36,0.56,2,137,3,0,0,1,low,sales,15
0.38,0.54,2,143,3,0,0,1,low,sales,16
0.45,0.47,2,160,3,0,0,1,low,sales,17
0.78,0.99,4,255,6,0,0,1,low,sales,18
0.45,0.51,2,160,3,1,1,1,low,sales,19
0.76,0.89,5,262,5,0,0,1,low,sales,20
0.11,0.83,6,282,4,0,0,1,low,sales,21
0.38,0.55,2,147,3,0,0,1,low,sales,22
0.09,0.95,6,304,4,0,0,1,low,sales,23
0.46,0.57,2,139,3,0,0,1,low,sales,24
0.4,0.53,2,158,3,0,0,1,low,sales,25
0.89,0.92,5,242,5,0,0,1,low,sales,26
0.82,0.87,4,239,5,0,0,1,low,sales,27
0.4,0.49,2,135,3,0,0,1,low,sales,28
0.41,0.46,2,128,3,0,0,1,low,accounting,29
0.38,0.5,2,132,3,0,0,1,low,accounting,30
0.09,0.62,6,294,4,0,0,1,low,accounting,31
0.45,0.57,2,134,3,0,0,1,low,hr,32
0.4,0.51,2,145,3,0,0,1,low,hr,33
0.45,0.55,2,140,3,0,0,1,low,hr,34
0.84,0.87,4,246,6,0,0,1,low,hr,35
0.1,0.94,6,255,4,0,0,1,low,technical,36
0.38,0.46,2,137,3,0,0,1,low,technical,37
0.45,0.5,2,126,3,0,0,1,low,technical,38
0.11,0.89,6,306,4,0,0,1,low,technical,39
0.41,0.54,2,152,3,0,0,1,low,technical,40
