"sentence","language"
"Hello, do you know what time the movie is tonight?","english"
"I am calling to make reservations","english"
"I would like to know if it is at all possible to check in","english"
"What time does the swimming pool open?","english"
"Where is the games room?","english"
"We must call the police.","english"
"How many pupils are there in your school?","english"
"Twenty litres of unleaded, please.","english"
"Is it near here?","english"
"Do I have to change?","english"
"Which counter do I go to to change money?","english"
"I would like two postcards, please.","english"
"There was a big explosion.","english"
"Where is the television room?","english"
"Where's the nearest railway station?","english"
"The storms caused flooding.","english"
"Where is the duty free shop?","english"
"I witnessed it happening.","english"
"I would like two postcards, please.","english"
"How about going to the cinema?","english"
"Où est la boulangerie?","french"
"Je voudrais une boîte de chocolates.","french"
"Y a-t-il un autre hôtel près d'ici?","french"
"Vérifiez la batterie, s'il vous plaît.","french"
"La banque ouvre à quelle heure?","french"
"Est-ce que je peux l'écouter?","french"
"Vous devez faire une déclaration de perte.","french"
"Combien des élèves y a-t-il dans votre collège?","french"
"Est-ce qu-il ya un car qui va à l'aéroport?","french"
"Nous voudrions rester jusqu'à Dimanche prochain.","french"
"Je ne comprends pas.","french"
"Voici une ordonnance pour des comprimés.","french"
"Je n'ai qu'un billet de cinquante francs.","french"
"À quelle heure commence le dernière séance?","french"
"Faut-il changer?","french"
"Il n'avait pas la priorité.","french"
"Puis-je prendre les places à l'avance?","french"
"Elle a trente et un ans.","french"
"Pour aller à la pharmacie, s'il vous plaît?","french"
"Voulez-vous me peser ce colis, s'il vous plaît.","french"
"Ciao, ti va di andare al cinema?","italian"
"Mi sai dire quando aprono il negozio?","italian"
"Quando c'è l'ultimo autobus?","italian"
"Lo posso provare addosso?","italian"
"C'è una presa elettrica per il nostro caravan?","italian"
"Vorrei una scatola di cioccolatini.","italian"
"Non e' stata colpa mia.","italian"
"Sono molto scarso in fisica.","italian"
"Vorrei del vino bianco.","italian"
"Me lo puo' spiegare, per piacere.","italian"
"Vorrei chiamare a spese del ricevente.","italian"
"Ho perso il mio passaporto.","italian"
"Posso avere i biglietti del cinema per favore?","italian"
"Vorrei un pacchetto di biscotti.","italian"
"Quali materie studi (studia)?","italian"
"Quanto frequenti sono gli autobus?","italian"
"A che ora sara' la prossima raccolta?","italian"
"Vorrei prenotare un posto.","italian"
"Per favore, quanto costa spedire una lettera in Germania?","italian"
"Mio padre e' un programmatore.","italian"
"Damlaya damlaya göl olur.","turkish"
"Ayağını yorganına göre uzat.","turkish"
"Can çıkar huy çıkmaz.","turkish"
"Sakla samanı, gelir zamanı.","turkish"
"Fakirlik ayıp değil, tembellik ayıp.","turkish"
"Can boğazdan gelir.","turkish"
"Zararın neresinden dönersen kârdır.","turkish"
"Bir elin nesi var, iki elin sesi var.","turkish"
"El eli yıkar, iki el de yüzü.","turkish"
"Acele giden ecele gider.","turkish"
"Çarık çarıkla, sarık sarıkla.","turkish"
"Cahile söz (laf) anlatmak, deveye hendek atlatmaktan zordur (güçtür).","turkish"
"Rüzgar esmeyince yaprak oynamaz (dal kımıldamaz).","turkish"
"Lafla peynir gemisi yürümez.","turkish"
"El elden üstündür.","turkish"
"Dünya bol olmuş neye yarar, pabuç dar olduktan sonra.","turkish"
"Nie dla wszystkich skrzypce grają","polish"
"Co po trzeźwemu myśli, to po pijanemu powie","polish"
"Potrzebny jak dziura w moście","polish"
"Ręka rękę myje, noga nogę wspiera","polish"
"Jak cię widzą, tak cię piszą","polish"
"Gdyby kózka nie skakała, to by nóżki nie złamała","polish"
"Gdyby kózka nie skakała, to by smutne życie miała","polish"
"Swój ciągnie do swojego","polish"
"Każdy sądzi według siebie","polish"
"Z kim się zadajesz, takim się stajesz","polish"
"Kto się czubi, ten się lubi","polish"
"Baba z wozu koniom lżej","polish"
"Lepszy wróbel w garści niż gołąb na dachu","polish"
"Co nagle, to po diable","polish"
"W zdrowym ciele, zdrowy duch","polish"
"Mądry Polak po szkodzie","polish"
"Komu pora, temu czas","polish"
"Co ciało lubi, to duszę zgubi","polish"
"Kwiat bez zapachu, jak człowiek bez duszy","polish"
"Komu w drogę, temu gwóźdź w nogę","polish"
"Sukces ma wieju ojców, porażka jest sierotą","polish"
